year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,1,1,615,615,0,833,842,-9,DL,575,N326NB,EWR,ATL,120,746,6,15,2013-01-01T11:00:00Z
2013,1,1,627,630,-3,1018,1018,0,US,27,N535UW,JFK,PHX,330,2153,6,30,2013-01-01T11:00:00Z
2013,1,1,644,636,8,931,940,-9,UA,1701,N75435,EWR,FLL,151,1065,6,36,2013-01-01T11:00:00Z
2013,1,1,652,655,-3,932,921,11,B6,117,N178JB,JFK,MSY,191,1182,6,55,2013-01-01T11:00:00Z
2013,1,1,656,700,-4,948,1011,-23,UA,1115,N24212,EWR,TPA,156,997,7,0,2013-01-01T12:00:00Z
2013,1,1,659,700,-1,1008,1007,1,B6,981,N646JB,JFK,FLL,156,1069,7,0,2013-01-01T12:00:00Z
2013,1,1,659,705,-6,907,913,-6,DL,831,N998DL,LGA,DTW,105,502,7,5,2013-01-01T12:00:00Z
2013,1,1,803,810,-7,903,925,-22,AA,1838,N3GEAA,JFK,BOS,38,187,8,10,2013-01-01T13:00:00Z
2013,1,1,805,805,0,1015,1005,10,B6,219,N273JB,JFK,CLT,98,541,8,5,2013-01-01T13:00:00Z
2013,1,1,805,800,5,1118,1106,12,B6,3,N570JB,JFK,FLL,165,1069,8,0,2013-01-01T13:00:00Z
2013,1,1,824,830,-6,1027,1025,2,AA,1855,N573AA,LGA,STL,169,888,8,30,2013-01-01T13:00:00Z
2013,1,1,828,830,-2,1027,1012,15,B6,905,N274JB,JFK,ORD,160,740,8,30,2013-01-01T13:00:00Z
2013,1,1,830,835,-5,1052,1105,-13,MQ,4610,N513MQ,LGA,ATL,123,762,8,35,2013-01-01T13:00:00Z
2013,1,1,839,850,-11,1027,1035,-8,MQ,4558,N711MQ,LGA,CLE,88,419,8,50,2013-01-01T13:00:00Z
2013,1,1,840,845,-5,1053,1102,-9,DL,2304,N926DL,JFK,DTW,108,509,8,45,2013-01-01T13:00:00Z
2013,1,1,851,859,-8,1102,1105,-3,DL,869,N361NB,EWR,DTW,106,488,8,59,2013-01-01T13:00:00Z
2013,1,1,857,900,-3,1516,1530,-14,HA,51,N380HA,JFK,HNL,659,4983,9,0,2013-01-01T14:00:00Z
2013,1,1,857,900,-3,1124,1133,-9,DL,485,N371NB,EWR,ATL,125,746,9,0,2013-01-01T14:00:00Z
2013,1,1,913,918,-5,1346,1416,-30,UA,1519,N24715,EWR,STT,189,1634,9,18,2013-01-01T14:00:00Z
2013,1,1,929,925,4,1220,1150,30,WN,766,N957WN,EWR,DEN,264,1605,9,25,2013-01-01T14:00:00Z
2013,1,1,955,1000,-5,1336,1325,11,US,75,N642AW,EWR,PHX,324,2133,10,0,2013-01-01T15:00:00Z
2013,1,1,1005,1000,5,1239,1234,5,UA,1625,N81449,EWR,DEN,254,1605,10,0,2013-01-01T15:00:00Z
2013,1,1,1037,1030,7,1221,1210,11,AA,321,N581AA,LGA,ORD,133,733,10,30,2013-01-01T15:00:00Z
2013,1,1,1047,1055,-8,1359,1405,-6,AA,739,N3AVAA,LGA,DFW,230,1389,10,55,2013-01-01T15:00:00Z
2013,1,1,1054,1059,-5,1326,1339,-13,DL,1647,N920DE,LGA,ATL,129,762,10,59,2013-01-01T15:00:00Z
2013,1,1,1113,1115,-2,1318,1315,3,DL,1031,N320NB,LGA,DTW,104,502,11,15,2013-01-01T16:00:00Z
2013,1,1,1127,1129,-2,1303,1309,-6,EV,4294,N14180,EWR,RDU,73,416,11,29,2013-01-01T16:00:00Z
2013,1,1,1130,1125,5,1301,1305,-4,AA,327,N3DEAA,LGA,ORD,127,733,11,25,2013-01-01T16:00:00Z
2013,1,1,1153,1123,30,1454,1425,29,B6,1,N552JB,JFK,FLL,167,1069,11,23,2013-01-01T16:00:00Z
2013,1,1,1153,1200,-7,1450,1529,-39,DL,863,N712TW,JFK,LAX,330,2475,12,0,2013-01-01T17:00:00Z
2013,1,1,1154,1200,-6,1452,1430,22,MQ,4658,N8EGMQ,LGA,ATL,141,762,12,0,2013-01-01T17:00:00Z
2013,1,1,1211,1215,-4,1423,1413,10,EV,4135,N21537,EWR,CLT,102,529,12,15,2013-01-01T17:00:00Z
2013,1,1,1245,1245,0,1616,1615,1,DL,2174,N711ZX,JFK,SLC,298,1990,12,45,2013-01-01T17:00:00Z
2013,1,1,1257,1300,-3,1454,1450,4,MQ,4426,N739MQ,LGA,CMH,97,479,13,0,2013-01-01T18:00:00Z
2013,1,1,1304,1227,37,1518,1422,56,EV,4640,N19966,EWR,DAY,107,533,12,27,2013-01-01T17:00:00Z
2013,1,1,1323,1300,23,1651,1608,43,DL,1185,N3736C,EWR,SLC,295,1969,13,0,2013-01-01T18:00:00Z
2013,1,1,1325,1330,-5,1606,1605,1,DL,2043,N318US,JFK,ATL,131,760,13,30,2013-01-01T18:00:00Z
2013,1,1,1327,1329,-2,1624,1629,-5,UA,906,N847UA,EWR,FLL,157,1065,13,29,2013-01-01T18:00:00Z
2013,1,1,1421,1422,-1,1517,1535,-18,B6,1010,N274JB,JFK,BOS,38,187,14,22,2013-01-01T19:00:00Z
2013,1,1,1423,1430,-7,1535,1550,-15,EV,5710,N835AS,LGA,IAD,53,229,14,30,2013-01-01T19:00:00Z
2013,1,1,1424,1420,4,1659,1644,15,EV,4935,N678CA,EWR,ATL,132,746,14,20,2013-01-01T19:00:00Z
2013,1,1,1430,1359,31,1718,1652,26,UA,278,N563UA,EWR,PBI,149,1023,13,59,2013-01-01T18:00:00Z
2013,1,1,1443,1444,-1,1600,1602,-2,EV,4292,N13908,EWR,IAD,51,212,14,44,2013-01-01T19:00:00Z
2013,1,1,1445,1445,0,1729,1710,19,MQ,4669,N532MQ,LGA,ATL,129,762,14,45,2013-01-01T19:00:00Z
2013,1,1,1454,1458,-4,1554,1615,-21,EV,4390,N11544,EWR,PWM,47,284,14,58,2013-01-01T19:00:00Z
2013,1,1,1456,1455,1,1830,1813,17,UA,1134,N24212,EWR,AUS,252,1504,14,55,2013-01-01T19:00:00Z
2013,1,1,1457,1500,-3,1652,1656,-4,US,720,N539UW,EWR,CLT,97,529,15,0,2013-01-01T20:00:00Z
2013,1,1,1507,1510,-3,1748,1745,3,MQ,4309,N803MQ,JFK,IND,130,665,15,10,2013-01-01T20:00:00Z
2013,1,1,1539,1545,-6,1853,1910,-17,AA,133,N319AA,JFK,LAX,351,2475,15,45,2013-01-01T20:00:00Z
2013,1,1,1600,1610,-10,1712,1729,-17,9E,4088,N8968E,JFK,PHL,35,94,16,10,2013-01-01T21:00:00Z
2013,1,1,1608,1609,-1,1847,1910,-23,B6,157,N712JB,JFK,MCO,137,944,16,9,2013-01-01T21:00:00Z
2013,1,1,1619,1625,-6,1912,1855,17,MQ,4661,N537MQ,LGA,ATL,136,762,16,25,2013-01-01T21:00:00Z
2013,1,1,1628,1630,-2,1907,1923,-16,DL,920,N331NW,JFK,DEN,248,1626,16,30,2013-01-01T21:00:00Z
2013,1,1,1707,1700,7,2006,2000,6,UA,342,N543UA,EWR,LAX,334,2454,17,0,2013-01-01T22:00:00Z
2013,1,1,1730,1730,0,2013,1959,14,FL,623,N967AT,LGA,ATL,128,762,17,30,2013-01-01T22:00:00Z
2013,1,1,1738,1745,-7,2030,2042,-12,B6,547,N508JB,EWR,PBI,147,1023,17,45,2013-01-01T22:00:00Z
2013,1,1,1742,1746,-4,2028,2052,-24,DL,1585,N933DL,LGA,MCO,145,950,17,46,2013-01-01T22:00:00Z
2013,1,1,1803,1726,37,2011,1934,37,EV,4382,N13958,EWR,DTW,104,488,17,26,2013-01-01T22:00:00Z
2013,1,1,1805,1757,8,2117,2119,-2,UA,1152,N39463,EWR,PDX,336,2434,17,57,2013-01-01T22:00:00Z
2013,1,1,1816,1805,11,2013,1955,18,MQ,4626,N8EGMQ,LGA,CMH,93,479,18,5,2013-01-01T23:00:00Z
2013,1,1,1820,1820,0,2216,2150,26,AA,119,N3FMAA,EWR,LAX,366,2454,18,20,2013-01-01T23:00:00Z
2013,1,1,1848,1745,63,2238,2120,78,AA,177,N332AA,JFK,SFO,361,2586,17,45,2013-01-01T22:00:00Z
2013,1,1,1850,1900,-10,2007,2016,-9,EV,5714,N835AS,JFK,IAD,55,228,19,0,2013-01-02T00:00:00Z
2013,1,1,1853,1900,-7,2004,2018,-14,US,2187,N951UW,LGA,DCA,54,214,19,0,2013-01-02T00:00:00Z
2013,1,1,1856,1859,-3,2133,2155,-22,B6,155,N505JB,JFK,MCO,133,944,18,59,2013-01-01T23:00:00Z
2013,1,1,1925,1900,25,2259,2238,21,DL,87,N624AG,JFK,LAX,332,2475,19,0,2013-01-02T00:00:00Z
2013,1,1,1935,1930,5,2223,2143,40,EV,4085,N12157,EWR,OMA,209,1134,19,30,2013-01-02T00:00:00Z
2013,1,1,1952,1930,22,2257,2251,6,UA,1416,N76523,EWR,SEA,342,2402,19,30,2013-01-02T00:00:00Z
2013,1,1,2000,1930,30,2255,2140,75,EV,4361,N12567,EWR,TYS,138,631,19,30,2013-01-02T00:00:00Z
2013,1,1,2021,2025,-4,2351,2341,10,B6,1069,N203JB,JFK,AUS,255,1521,20,25,2013-01-02T01:00:00Z
2013,1,1,2046,2035,11,2144,2213,-29,9E,3357,N916XJ,JFK,DCA,43,213,20,35,2013-01-02T01:00:00Z
2013,1,1,2052,2045,7,2357,2359,-2,B6,147,N535JB,JFK,RSW,163,1074,20,45,2013-01-02T01:00:00Z
2013,1,1,2055,2100,-5,2350,2355,-5,UA,380,N441UA,EWR,PBI,142,1023,21,0,2013-01-02T02:00:00Z
2013,1,1,2057,2100,-3,2237,2220,17,MQ,3744,N521MQ,EWR,ORD,133,719,21,0,2013-01-02T02:00:00Z
2013,1,1,2115,2110,5,2240,2223,17,EV,4119,N15986,EWR,RIC,65,277,21,10,2013-01-02T02:00:00Z
2013,1,1,2128,2125,3,2243,2240,3,MQ,4449,N810MQ,JFK,DCA,54,213,21,25,2013-01-02T02:00:00Z
2013,1,1,2129,2120,9,2342,2351,-9,B6,97,N625JB,JFK,DEN,223,1626,21,20,2013-01-02T02:00:00Z
2013,1,1,2209,2155,14,2400,2337,23,B6,1109,N216JB,JFK,RDU,86,427,21,55,2013-01-02T02:00:00Z
2013,1,1,2217,2130,47,140,27,73,B6,21,N516JB,JFK,TPA,163,1005,21,30,2013-01-02T02:00:00Z
2013,1,2,600,605,-5,751,818,-27,EV,5147,N760EV,EWR,MSP,155,1008,6,5,2013-01-02T11:00:00Z
2013,1,2,600,605,-5,748,805,-17,MQ,4401,N713MQ,LGA,DTW,82,502,6,5,2013-01-02T11:00:00Z
2013,1,2,607,610,-3,859,910,-11,AA,1895,N5ELAA,EWR,MIA,151,1085,6,10,2013-01-02T11:00:00Z
2013,1,2,611,600,11,756,725,31,WN,1563,N235WN,EWR,MDW,139,711,6,0,2013-01-02T11:00:00Z
2013,1,2,625,629,-4,935,934,1,UA,473,N461UA,LGA,IAH,230,1416,6,29,2013-01-02T11:00:00Z
2013,1,2,626,630,-4,850,833,17,US,1019,N445US,EWR,CLT,103,529,6,30,2013-01-02T11:00:00Z
2013,1,2,629,620,9,844,827,17,EV,4460,N11565,EWR,CVG,118,569,6,20,2013-01-02T11:00:00Z
2013,1,2,629,630,-1,1010,1014,-4,US,245,N837AW,EWR,PHX,308,2133,6,30,2013-01-02T11:00:00Z
2013,1,2,630,610,20,948,921,27,B6,135,N665JB,JFK,RSW,177,1074,6,10,2013-01-02T11:00:00Z
2013,1,2,637,640,-3,832,809,23,EV,3829,N17108,EWR,BNA,138,748,6,40,2013-01-02T11:00:00Z
2013,1,2,654,651,3,1003,955,8,UA,1701,N78285,EWR,FLL,168,1065,6,51,2013-01-02T11:00:00Z
